game_id,player_x_id,player_o_id,move_id,pre_state,move,post_state
33,1,2,7,oxo-x--ox,5,oxo-xx-ox
33,1,2,8,oxo-xx-ox,3,oxooxx-ox
33,1,2,9,oxooxx-ox,6,oxooxxxox
34,1,2,1,---------,6,------x--
34,1,2,2,------x--,4,----o-x--
34,1,2,3,----o-x--,7,----o-xx-
34,1,2,4,----o-xx-,8,----o-xxo
34,1,2,5,----o-xxo,1,-x--o-xxo
34,1,2,6,-x--o-xxo,0,ox--o-xxo
35,1,2,1,---------,3,---x-----
35,1,2,2,---x-----,0,o--x-----
35,1,2,3,o--x-----,1,ox-x-----
35,1,2,4,ox-x-----,4,ox-xo----
35,1,2,5,ox-xo----,8,ox-xo---x
35,1,2,6,ox-xo---x,2,oxoxo---x
35,1,2,7,oxoxo---x,6,oxoxo-x-x
35,1,2,8,oxoxo-x-x,7,oxoxo-xox
35,1,2,9,oxoxo-xox,5,oxoxoxxox
36,5,2,1,---------,8,--------x
36,5,2,2,--------x,4,----o---x
36,5,2,3,----o---x,7,----o--xx
36,5,2,4,----o--xx,6,----o-oxx
36,5,2,5,----o-oxx,3,---xo-oxx
36,5,2,6,---xo-oxx,2,--oxo-oxx
37,5,2,1,---------,8,--------x
37,5,2,2,--------x,4,----o---x
37,5,2,3,----o---x,7,----o--xx
37,5,2,4,----o--xx,6,----o-oxx
37,5,2,5,----o-oxx,5,----oxoxx
37,5,2,6,----oxoxx,2,--o-oxoxx
38,5,2,1,---------,8,--------x
38,5,2,2,--------x,4,----o---x
38,5,2,3,----o---x,7,----o--xx
38,5,2,4,----o--xx,6,----o-oxx
38,5,2,5,----o-oxx,5,----oxoxx
38,5,2,6,----oxoxx,2,--o-oxoxx
39,5,2,1,---------,8,--------x
39,5,2,2,--------x,4,----o---x
39,5,2,3,----o---x,7,----o--xx
39,5,2,4,----o--xx,6,----o-oxx
39,5,2,5,----o-oxx,5,----oxoxx
39,5,2,6,----oxoxx,2,--o-oxoxx
40,5,2,1,---------,8,--------x
40,5,2,2,--------x,4,----o---x
40,5,2,3,----o---x,7,----o--xx
40,5,2,4,----o--xx,6,----o-oxx
40,5,2,5,----o-oxx,5,----oxoxx
40,5,2,6,----oxoxx,2,--o-oxoxx
41,6,2,1,---------,0,x--------
41,6,2,2,x--------,4,x---o----
41,6,2,3,x---o----,1,xx--o----
41,6,2,4,xx--o----,2,xxo-o----
41,6,2,5,xxo-o----,7,xxo-o--x-
41,6,2,6,xxo-o--x-,3,xxooo--x-
41,6,2,7,xxooo--x-,5,xxooox-x-
41,6,2,8,xxooox-x-,6,xxoooxox-
42,6,2,1,---------,0,x--------
42,6,2,2,x--------,4,x---o----
42,6,2,3,x---o----,1,xx--o----
42,6,2,4,xx--o----,2,xxo-o----
42,6,2,5,xxo-o----,7,xxo-o--x-
42,6,2,6,xxo-o--x-,3,xxooo--x-
42,6,2,7,xxooo--x-,5,xxooox-x-
42,6,2,8,xxooox-x-,6,xxoooxox-
43,6,2,1,---------,0,x--------
43,6,2,2,x--------,4,x---o----
43,6,2,3,x---o----,1,xx--o----
43,6,2,4,xx--o----,2,xxo-o----
43,6,2,5,xxo-o----,8,xxo-o---x
43,6,2,6,xxo-o---x,3,xxooo---x
43,6,2,7,xxooo---x,5,xxooox--x
43,6,2,8,xxooox--x,6,xxoooxo-x
44,6,2,1,---------,0,x--------
44,6,2,2,x--------,4,x---o----
44,6,2,3,x---o----,1,xx--o----
44,6,2,4,xx--o----,2,xxo-o----
44,6,2,5,xxo-o----,6,xxo-o-x--
44,6,2,6,xxo-o-x--,3,xxooo-x--
44,6,2,7,xxooo-x--,5,xxoooxx--
44,6,2,8,xxoooxx--,7,xxoooxxo-
44,6,2,9,xxoooxxo-,8,xxoooxxox
45,6,2,1,---------,0,x--------
45,6,2,2,x--------,4,x---o----
45,6,2,3,x---o----,1,xx--o----
45,6,2,4,xx--o----,2,xxo-o----
45,6,2,5,xxo-o----,7,xxo-o--x-
45,6,2,6,xxo-o--x-,3,xxooo--x-
45,6,2,7,xxooo--x-,5,xxooox-x-
45,6,2,8,xxooox-x-,6,xxoooxox-
46,8,2,1,---------,0,x--------
46,8,2,2,x--------,4,x---o----
46,8,2,3,x---o----,1,xx--o----
46,8,2,4,xx--o----,2,xxo-o----
46,8,2,5,xxo-o----,3,xxoxo----
46,8,2,6,xxoxo----,6,xxoxo-o--
47,8,2,1,---------,0,x--------
47,8,2,2,x--------,4,x---o----
47,8,2,3,x---o----,1,xx--o----
47,8,2,4,xx--o----,2,xxo-o----
47,8,2,5,xxo-o----,3,xxoxo----
47,8,2,6,xxoxo----,6,xxoxo-o--
48,8,2,1,---------,0,x--------
48,8,2,2,x--------,4,x---o----
48,8,2,3,x---o----,1,xx--o----
48,8,2,4,xx--o----,2,xxo-o----
48,8,2,5,xxo-o----,3,xxoxo----
48,8,2,6,xxoxo----,6,xxoxo-o--
49,8,2,1,---------,0,x--------
49,8,2,2,x--------,4,x---o----
49,8,2,3,x---o----,1,xx--o----
49,8,2,4,xx--o----,2,xxo-o----
49,8,2,5,xxo-o----,3,xxoxo----
49,8,2,6,xxoxo----,6,xxoxo-o--
50,8,2,1,---------,0,x--------
50,8,2,2,x--------,4,x---o----
50,8,2,3,x---o----,1,xx--o----
50,8,2,4,xx--o----,2,xxo-o----
50,8,2,5,xxo-o----,3,xxoxo----
50,8,2,6,xxoxo----,6,xxoxo-o--
51,9,2,1,---------,0,x--------
51,9,2,2,x--------,4,x---o----
51,9,2,3,x---o----,1,xx--o----
51,9,2,4,xx--o----,2,xxo-o----
51,9,2,5,xxo-o----,6,xxo-o-x--
51,9,2,6,xxo-o-x--,3,xxooo-x--
51,9,2,7,xxooo-x--,5,xxoooxx--
51,9,2,8,xxoooxx--,7,xxoooxxo-
51,9,2,9,xxoooxxo-,8,xxoooxxox
52,9,2,1,---------,0,x--------
52,9,2,2,x--------,4,x---o----
52,9,2,3,x---o----,1,xx--o----
52,9,2,4,xx--o----,2,xxo-o----
52,9,2,5,xxo-o----,6,xxo-o-x--
52,9,2,6,xxo-o-x--,3,xxooo-x--
52,9,2,7,xxooo-x--,5,xxoooxx--
52,9,2,8,xxoooxx--,7,xxoooxxo-
52,9,2,9,xxoooxxo-,8,xxoooxxox
53,9,2,1,---------,0,x--------
53,9,2,2,x--------,4,x---o----
53,9,2,3,x---o----,1,xx--o----
53,9,2,4,xx--o----,2,xxo-o----
53,9,2,5,xxo-o----,6,xxo-o-x--
53,9,2,6,xxo-o-x--,3,xxooo-x--
53,9,2,7,xxooo-x--,5,xxoooxx--
53,9,2,8,xxoooxx--,7,xxoooxxo-
53,9,2,9,xxoooxxo-,8,xxoooxxox
54,9,2,1,---------,0,x--------
54,9,2,2,x--------,4,x---o----
54,9,2,3,x---o----,1,xx--o----
54,9,2,4,xx--o----,2,xxo-o----
54,9,2,5,xxo-o----,6,xxo-o-x--
54,9,2,6,xxo-o-x--,3,xxooo-x--
54,9,2,7,xxooo-x--,5,xxoooxx--
54,9,2,8,xxoooxx--,7,xxoooxxo-
54,9,2,9,xxoooxxo-,8,xxoooxxox
55,9,2,1,---------,0,x--------
55,9,2,2,x--------,4,x---o----
55,9,2,3,x---o----,1,xx--o----
55,9,2,4,xx--o----,2,xxo-o----
55,9,2,5,xxo-o----,6,xxo-o-x--
55,9,2,6,xxo-o-x--,3,xxooo-x--
55,9,2,7,xxooo-x--,5,xxoooxx--
